"event","experiment time","system time","system time text"
"START",0.000000000E0,1736779729.418,"2025-01-13 15:48:49.418 UTC+01:00"
"PAUSE",4.111914384E1,1736779770.537,"2025-01-13 15:49:30.537 UTC+01:00"
