"event","experiment time","system time","system time text"
"START",0.000000000E0,1736781183.309,"2025-01-13 16:13:03.309 UTC+01:00"
"PAUSE",1.737397328E1,1736781200.683,"2025-01-13 16:13:20.683 UTC+01:00"
