"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
5.400000000E0,-4.034689036E-2,9.587379888E-3,4.727110917E-2
5.500000000E0,1.103880268E-1,3.289003934E-2,3.994741620E-4
5.600000000E0,8.655273510E-2,1.398159567E-2,-1.691107286E-2
5.700000000E0,1.628523000E-1,-2.197107891E-2,1.624528259E-2
5.800000000E0,2.724413785E-1,1.864212756E-3,2.623213664E-2
5.900000000E0,2.639192630E-1,-2.010686615E-2,5.193164106E-2
6.000000000E0,2.779008587E-1,5.313006355E-2,-4.221110312E-2
6.100000000E0,2.287655368E-1,3.488741015E-2,-7.989483240E-4
6.200000000E0,1.588575584E-1,2.290318529E-2,2.250371113E-2
6.300000000E0,7.856325186E-2,1.877528561E-2,5.779059544E-2
6.400000000E0,3.195793296E-3,3.129214269E-2,-8.122641294E-3
6.500000000E0,-2.090581448E-2,2.024002421E-2,-8.921589618E-3
6.600000000E0,-1.584580843E-2,1.704423091E-2,1.997370810E-3
6.700000000E0,4.527373836E-3,1.318264735E-2,-2.410160777E-2
6.800000000E0,5.632585684E-2,3.355582961E-2,-3.808320344E-2
6.900000000E0,1.288969963E-1,3.075951047E-2,-4.340952560E-2
7.000000000E0,2.259692176E-1,2.809634939E-2,-1.265001513E-2
7.100000000E0,2.179797344E-1,2.929477188E-2,-1.091896043E-2
7.200000000E0,2.695119013E-1,2.916161383E-2,5.060006052E-3
7.300000000E0,2.310292237E-1,2.077265642E-2,-9.454221834E-3
7.400000000E0,1.868207498E-1,3.075951047E-2,3.901530982E-2
7.500000000E0,6.538060451E-2,2.103897253E-2,-1.810949534E-2
7.600000000E0,3.568635847E-2,2.756371718E-2,-1.198422486E-2
7.700000000E0,-1.065264432E-2,2.916161383E-2,9.108010894E-2
7.800000000E0,-3.621899069E-2,3.036003631E-2,3.289003934E-2
7.900000000E0,-3.528688431E-2,2.024002421E-2,-4.500742225E-2
8.000000000E0,8.069378072E-2,3.608583263E-2,-6.831008170E-2
8.100000000E0,1.342233184E-1,2.450108194E-2,5.872270181E-2
8.200000000E0,1.973402360E-1,3.368898766E-2,-7.057376862E-3
8.300000000E0,2.526008284E-1,1.984055005E-2,2.050634032E-2
8.400000000E0,2.627208405E-1,1.211738291E-2,5.233111522E-2
8.500000000E0,2.266350079E-1,2.729740107E-2,-4.127899674E-3
8.600000000E0,1.889512786E-1,2.583266248E-2,-2.463423999E-2
8.700000000E0,1.794970568E-1,1.531317621E-2,4.048004842E-2
8.800000000E0,9.161274115E-2,1.797633729E-2,1.478054399E-2
8.900000000E0,4.261057728E-3,2.277002723E-2,-4.833637360E-2
9.000000000E0,-1.744370507E-2,2.410160777E-2,-4.514058031E-2
9.100000000E0,-3.861583566E-3,2.982740410E-2,-3.102582658E-2
9.200000000E0,1.225054097E-2,2.729740107E-2,-3.528688431E-2
9.300000000E0,6.458165619E-2,3.195793296E-2,-4.034689036E-2
9.400000000E0,9.321063780E-2,3.235740712E-2,-7.004113640E-2
9.500000000E0,1.893507528E-1,1.797633729E-2,3.062635242E-3
9.600000000E0,2.537992509E-1,1.051948627E-2,4.274373533E-2
9.700000000E0,2.820287584E-1,2.170476280E-2,3.289003934E-2
9.800000000E0,2.456766096E-1,3.275688128E-2,-4.727110917E-2
9.900000000E0,2.126534122E-1,1.984055005E-2,-1.571265037E-2
1.000000000E1,1.889512786E-1,3.036003631E-2,2.263686918E-2
1.010000000E1,1.207743550E-1,1.384843762E-2,-2.316950140E-2
1.020000000E1,4.487426420E-2,1.344896345E-2,-1.930791783E-2
1.030000000E1,-9.187905726E-3,2.969424604E-2,-2.969424604E-2
1.040000000E1,2.383529167E-2,2.503371415E-2,5.432848603E-2
1.050000000E1,5.086637663E-2,1.491370205E-2,2.849582356E-2
1.060000000E1,2.503371415E-2,3.342267155E-2,-2.556634637E-2
1.070000000E1,7.110640084E-2,3.608583263E-2,1.597896648E-3
1.080000000E1,1.764344216E-1,2.197107891E-2,1.225054097E-2
1.090000000E1,2.101234092E-1,2.024002421E-2,-1.518001816E-2
1.100000000E1,2.083923545E-1,3.728425512E-2,1.225054097E-2
1.110000000E1,2.808303359E-1,1.731054702E-2,2.050634032E-2
1.120000000E1,2.568618862E-1,2.330265945E-2,-8.788431564E-3
1.130000000E1,2.122539381E-1,3.328951350E-2,-1.344896345E-2
1.140000000E1,1.854891692E-1,2.356897556E-2,1.944107588E-2
1.150000000E1,1.249022547E-1,2.277002723E-2,1.611212453E-2
1.160000000E1,6.058691457E-2,2.316950140E-2,-3.115898464E-2
1.170000000E1,4.860268971E-2,2.703108496E-2,1.491370205E-2
1.180000000E1,3.036003631E-2,2.010686615E-2,2.010686615E-2
1.190000000E1,1.757686313E-2,1.464738594E-2,4.793689944E-3
1.200000000E1,3.249056518E-2,1.398159567E-2,-4.141215479E-2
1.210000000E1,1.035969660E-1,2.756371718E-2,-1.984055005E-2
1.220000000E1,1.384843762E-1,2.450108194E-2,1.611212453E-2
1.230000000E1,1.876196981E-1,2.277002723E-2,-1.864212756E-2
1.240000000E1,2.261023757E-1,2.902845577E-2,-2.663161080E-4
1.250000000E1,2.470081902E-1,2.783003329E-2,-4.394215782E-3
1.260000000E1,2.751045396E-1,1.611212453E-2,2.143844669E-2
1.270000000E1,2.660497919E-1,2.050634032E-2,3.781688734E-2
1.280000000E1,2.331597526E-1,2.077265642E-2,8.122641294E-3
1.290000000E1,1.745702088E-1,2.929477188E-2,2.050634032E-2
1.300000000E1,1.298291026E-1,2.450108194E-2,-1.864212756E-3
1.310000000E1,7.416903608E-2,2.849582356E-2,-5.299690549E-2
1.320000000E1,3.981425815E-2,1.837581145E-2,-2.530003026E-2
1.330000000E1,4.447479004E-2,1.810949534E-2,-1.970739199E-2
1.340000000E1,4.940163803E-2,2.316950140E-2,-3.169161685E-2
1.350000000E1,8.442220624E-2,2.290318529E-2,1.384843762E-2
1.360000000E1,7.962851629E-2,2.716424302E-2,-3.249056518E-2
1.370000000E1,1.374191117E-1,3.502056820E-2,1.544633426E-2
1.380000000E1,1.893507528E-1,2.543318831E-2,1.171790875E-2
1.390000000E1,2.254365854E-1,2.250371113E-2,-7.989483240E-4
1.400000000E1,2.628539986E-1,3.422161988E-2,-3.328951350E-3
1.410000000E1,2.689792691E-1,2.969424604E-2,3.968110009E-2
1.420000000E1,2.548645154E-1,2.849582356E-2,9.853695996E-3
1.430000000E1,2.507366157E-1,1.731054702E-2,1.677791480E-2
1.440000000E1,2.107891995E-1,2.583266248E-2,-1.331580540E-4
1.450000000E1,1.471396497E-1,3.169161685E-2,-2.476739804E-2
1.460000000E1,1.051948627E-1,3.022687826E-2,-4.221110312E-2
1.470000000E1,9.946906634E-2,3.422161988E-2,-2.596582053E-2
1.480000000E1,5.286374744E-2,1.824265340E-2,1.065264432E-3
1.490000000E1,5.352953771E-2,2.556634637E-2,-2.063949837E-2
1.500000000E1,6.072007262E-2,3.755057123E-2,-1.850896951E-2
1.510000000E1,6.325007565E-2,3.528688431E-2,-1.571265037E-2
1.520000000E1,9.560748277E-2,2.103897253E-2,-6.391586592E-3
1.530000000E1,1.368864795E-1,2.556634637E-2,-2.037318226E-2
1.540000000E1,2.051965612E-1,2.103897253E-2,-1.331580540E-3
1.550000000E1,2.134523606E-1,1.810949534E-2,-4.926847998E-3
1.560000000E1,2.237055307E-1,1.890844367E-2,-2.663161080E-4
