"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
1.160000000E1,-3.422161988E-2,2.889529772E-2,-1.651159870E-2
1.170000000E1,-2.436792388E-2,1.997370810E-2,-1.424791178E-2
1.180000000E1,5.193164106E-2,2.663161080E-2,-6.657902700E-3
1.190000000E1,1.395496406E-1,1.531317621E-2,-1.571265037E-2
1.200000000E1,2.294313270E-1,1.624528259E-2,5.326322160E-4
1.210000000E1,3.121224786E-1,2.450108194E-2,6.524744646E-3
1.220000000E1,3.659183324E-1,2.556634637E-2,3.994741620E-4
1.230000000E1,3.922836271E-1,1.557949232E-2,-1.344896345E-2
1.240000000E1,4.289020919E-1,1.278317318E-2,-1.384843762E-2
1.250000000E1,4.098604902E-1,1.704423091E-2,1.265001513E-2
1.260000000E1,3.657851743E-1,2.103897253E-2,2.010686615E-2
1.270000000E1,3.131877430E-1,2.530003026E-2,4.261057728E-3
1.280000000E1,2.254365854E-1,2.556634637E-2,2.623213664E-2
1.290000000E1,1.217064614E-1,1.371527956E-2,-8.122641294E-3
1.300000000E1,8.562062872E-2,1.784317924E-2,1.025317016E-2
1.310000000E1,3.368898766E-2,1.864212756E-2,5.193164106E-3
1.320000000E1,-3.342267155E-2,1.171790875E-2,0.000000000E0
1.330000000E1,-1.411475372E-2,1.198422486E-2,5.459480214E-3
1.340000000E1,9.321063780E-4,2.210423696E-2,1.065264432E-2
1.350000000E1,-3.994741620E-4,2.210423696E-2,-7.989483240E-3
1.360000000E1,4.780374139E-2,1.424791178E-2,-1.344896345E-2
1.370000000E1,1.229048838E-1,1.624528259E-2,6.125270484E-3
1.380000000E1,1.972070780E-1,1.771002118E-2,-1.451422789E-2
1.390000000E1,2.752376976E-1,1.304948929E-2,-1.597896648E-3
1.400000000E1,3.483414693E-1,1.757686313E-2,-4.127899674E-3
1.410000000E1,4.006725845E-1,2.809634939E-2,3.595267458E-3
1.420000000E1,4.139883899E-1,1.265001513E-2,-3.861583566E-3
1.430000000E1,4.135889157E-1,1.211738291E-2,2.530003026E-3
1.440000000E1,3.905525724E-1,2.450108194E-2,-2.423476583E-2
1.450000000E1,3.516704206E-1,1.637844064E-2,-2.530003026E-2
1.460000000E1,2.797650715E-1,2.703108496E-2,-5.592638268E-3
1.470000000E1,2.071939320E-1,1.890844367E-2,-2.450108194E-2
1.480000000E1,2.013349776E-1,2.516687221E-2,-1.597896648E-3
1.490000000E1,1.588575584E-1,2.396844972E-2,2.130528864E-3
1.500000000E1,6.205165316E-2,3.062635242E-2,-7.190534916E-3
1.510000000E1,8.255799348E-3,2.769687523E-2,-2.077265642E-2
1.520000000E1,-5.060006052E-3,1.930791783E-2,2.463423999E-2
1.530000000E1,9.321063780E-3,2.982740410E-2,1.411475372E-2
1.540000000E1,2.743055912E-2,3.888215177E-2,4.926847998E-3
1.550000000E1,4.514058031E-2,3.848267761E-2,-1.451422789E-2
1.560000000E1,9.014800256E-2,3.289003934E-2,-1.198422486E-2
1.570000000E1,1.571265037E-1,3.115898464E-2,1.930791783E-2
1.580000000E1,2.147839411E-1,3.209109101E-2,1.078580237E-2
1.590000000E1,2.651176855E-1,5.965480819E-2,-5.326322160E-4
1.600000000E1,3.358246122E-1,4.274373533E-2,7.989483240E-3
1.610000000E1,3.577956911E-1,2.157160475E-2,1.318264735E-2
1.620000000E1,3.973436331E-1,1.637844064E-2,-1.091896043E-2
1.630000000E1,4.278368275E-1,2.410160777E-2,9.587379888E-3
1.640000000E1,4.157194446E-1,7.456851024E-3,-5.326322160E-3
1.650000000E1,3.838946697E-1,3.089266853E-2,-9.986854050E-3
1.660000000E1,3.480751532E-1,2.676476885E-2,-1.611212453E-2
1.670000000E1,3.119893205E-1,1.131843459E-2,5.060006052E-3
1.680000000E1,2.888198191E-1,-3.462109404E-3,1.171790875E-2
1.690000000E1,2.201102633E-1,2.103897253E-2,-5.592638268E-3
1.700000000E1,1.671133578E-1,2.836266550E-2,-9.587379888E-3
1.710000000E1,1.368864795E-1,1.424791178E-2,-5.193164106E-3
1.720000000E1,9.813748580E-2,1.624528259E-2,-5.193164106E-3
1.730000000E1,4.127899674E-2,2.197107891E-2,8.655273510E-3
1.740000000E1,2.356897556E-2,3.062635242E-2,5.326322160E-4
1.750000000E1,7.616640689E-2,3.209109101E-2,1.704423091E-2
1.760000000E1,7.643272300E-2,2.450108194E-2,1.238369902E-2
1.770000000E1,7.643272300E-2,1.584580843E-2,8.655273510E-3
1.780000000E1,8.961537034E-2,2.450108194E-2,-1.651159870E-2
1.790000000E1,1.500691269E-1,2.516687221E-2,-1.331580540E-3
1.800000000E1,2.065281418E-1,2.796319134E-2,4.127899674E-3
1.810000000E1,2.661829499E-1,1.997370810E-2,-1.198422486E-3
1.820000000E1,2.972087765E-1,1.584580843E-2,-1.864212756E-3
1.830000000E1,3.330282931E-1,1.278317318E-2,-1.384843762E-2
1.840000000E1,3.804325603E-1,2.290318529E-2,-1.331580540E-3
1.850000000E1,4.069310130E-1,9.853695996E-3,-1.158475070E-2
1.860000000E1,4.137220738E-1,2.037318226E-2,3.062635242E-3
1.870000000E1,4.348942044E-1,1.624528259E-2,5.326322160E-3
1.880000000E1,4.215783990E-1,1.691107286E-2,-2.396844972E-3
1.890000000E1,4.061320647E-1,1.717738897E-2,9.321063780E-3
1.900000000E1,3.687146515E-1,1.597896648E-2,1.744370507E-2
1.910000000E1,3.428819890E-1,1.810949534E-2,2.929477188E-3
1.920000000E1,3.135872172E-1,2.010686615E-2,-3.861583566E-3
1.930000000E1,2.802977037E-1,2.237055307E-2,4.261057728E-3
1.940000000E1,2.078597223E-1,1.544633426E-2,-1.398159567E-2
1.950000000E1,1.741707346E-1,2.463423999E-2,-3.195793296E-3
1.960000000E1,1.523328138E-1,2.902845577E-2,-9.321063780E-4
1.970000000E1,1.338238443E-1,2.370213361E-2,9.321063780E-4
1.980000000E1,1.105211848E-1,2.596582053E-2,-1.464738594E-3
1.990000000E1,8.894958007E-2,3.328951350E-2,-9.321063780E-4
2.000000000E1,1.025317016E-1,2.303634334E-2,1.025317016E-2
2.010000000E1,1.145159264E-1,2.210423696E-2,8.788431564E-3
2.020000000E1,1.323591057E-1,1.970739199E-2,6.657902700E-3
2.030000000E1,1.495364946E-1,1.810949534E-2,-3.861583566E-3
2.040000000E1,1.677791480E-1,2.290318529E-2,-9.986854050E-3
2.050000000E1,2.165149958E-1,2.596582053E-2,1.265001513E-2
2.060000000E1,2.302302754E-1,2.822950745E-2,-4.793689944E-3
2.070000000E1,2.820287584E-1,2.503371415E-2,2.663161080E-3
2.080000000E1,3.234409132E-1,2.410160777E-2,-4.261057728E-3
2.090000000E1,3.568635847E-1,1.091896043E-2,6.258428538E-3
2.100000000E1,3.783020314E-1,1.597896648E-2,-5.992112430E-3
2.110000000E1,4.089283838E-1,2.556634637E-2,-1.997370810E-3
2.120000000E1,4.356931527E-1,2.902845577E-2,1.251685708E-2
2.130000000E1,4.510063289E-1,2.769687523E-2,3.861583566E-3
2.140000000E1,4.552673866E-1,2.330265945E-2,2.130528864E-3
2.150000000E1,4.552673866E-1,1.864212756E-2,1.065264432E-2
2.160000000E1,4.328968336E-1,2.476739804E-2,1.864212756E-3
2.170000000E1,4.093278580E-1,1.984055005E-2,-9.054747672E-3
2.180000000E1,3.992078459E-1,2.037318226E-2,-7.323692970E-3
2.190000000E1,3.777693992E-1,2.902845577E-2,-4.660531890E-3
2.200000000E1,3.514041045E-1,1.797633729E-2,-1.091896043E-2
2.210000000E1,3.247724937E-1,2.063949837E-2,-4.660531890E-3
2.220000000E1,2.872219225E-1,2.117213059E-2,-1.597896648E-3
2.230000000E1,2.737729590E-1,1.930791783E-2,-1.597896648E-3
2.240000000E1,2.427471324E-1,1.691107286E-2,-1.051948627E-2
2.250000000E1,2.255697435E-1,1.837581145E-2,-3.994741620E-3
2.260000000E1,1.989381327E-1,2.450108194E-2,-8.388957402E-3
2.270000000E1,1.922802300E-1,1.890844367E-2,-2.263686918E-3
2.280000000E1,1.900165431E-1,1.398159567E-2,2.130528864E-3
2.290000000E1,1.812281115E-1,1.717738897E-2,-6.657902700E-4
2.300000000E1,1.809617954E-1,2.676476885E-2,-1.864212756E-3
2.310000000E1,1.865544337E-1,2.583266248E-2,-3.062635242E-3
2.320000000E1,1.978728682E-1,2.356897556E-2,-2.396844972E-3
2.330000000E1,2.179797344E-1,1.597896648E-2,-1.464738594E-3
2.340000000E1,2.338255428E-1,2.596582053E-2,-1.065264432E-3
2.350000000E1,2.491387190E-1,2.889529772E-2,-2.796319134E-3
2.360000000E1,2.741724332E-1,2.703108496E-2,-4.527373836E-3
2.370000000E1,2.970756185E-1,1.957423394E-2,5.992112430E-3
2.380000000E1,3.254382840E-1,1.797633729E-2,4.127899674E-3
2.390000000E1,3.520698948E-1,2.596582053E-2,9.054747672E-3
2.400000000E1,3.795004539E-1,2.077265642E-2,1.997370810E-3
2.410000000E1,4.024036392E-1,2.024002421E-2,-6.791060754E-3
2.420000000E1,4.242415600E-1,1.784317924E-2,3.994741620E-4
2.430000000E1,4.442152681E-1,1.757686313E-2,-5.592638268E-3
2.440000000E1,4.581968638E-1,1.544633426E-2,-7.323692970E-3
2.450000000E1,4.800347847E-1,2.037318226E-2,-3.994741620E-3
2.460000000E1,4.741758303E-1,1.145159264E-2,-9.587379888E-3
2.470000000E1,4.849616327E-1,1.731054702E-2,-2.530003026E-3
2.480000000E1,4.885569001E-1,2.197107891E-2,1.211738291E-2
2.490000000E1,4.731105659E-1,2.250371113E-2,3.195793296E-3
2.500000000E1,4.739095142E-1,1.957423394E-2,1.997370810E-3
2.510000000E1,4.542021222E-1,2.077265642E-2,-3.462109404E-3
2.520000000E1,4.360926268E-1,2.490055610E-2,1.331580540E-4
2.530000000E1,4.163852349E-1,2.490055610E-2,3.195793296E-3
2.540000000E1,4.069310130E-1,1.651159870E-2,2.130528864E-3
2.550000000E1,3.876230952E-1,2.316950140E-2,-1.198422486E-3
2.560000000E1,3.580620072E-1,2.450108194E-2,3.994741620E-4
2.570000000E1,3.439472535E-1,2.090581448E-2,2.130528864E-3
2.580000000E1,3.290335514E-1,2.636529469E-2,1.464738594E-3
2.590000000E1,3.101251078E-1,2.636529469E-2,1.331580540E-3
2.600000000E1,2.948119316E-1,3.075951047E-2,-2.530003026E-3
2.610000000E1,2.824282325E-1,2.836266550E-2,3.462109404E-3
2.620000000E1,2.719087463E-1,2.037318226E-2,1.597896648E-3
2.630000000E1,2.652508436E-1,2.183792086E-2,-2.929477188E-3
2.640000000E1,2.633866308E-1,1.864212756E-2,-1.331580540E-3
2.650000000E1,2.667155822E-1,1.970739199E-2,3.062635242E-3
2.660000000E1,2.605903117E-1,2.330265945E-2,3.994741620E-4
2.670000000E1,2.616555761E-1,2.703108496E-2,-2.796319134E-3
2.680000000E1,2.667155822E-1,2.596582053E-2,-3.062635242E-3
2.690000000E1,2.727076946E-1,2.623213664E-2,1.331580540E-3
