"event","experiment time","system time","system time text"
"START",0.000000000E0,1736782090.804,"2025-01-13 16:28:10.804 UTC+01:00"
"PAUSE",2.713687864E1,1736782117.941,"2025-01-13 16:28:37.941 UTC+01:00"
