"event","experiment time","system time","system time text"
"START",0.000000000E0,1736781741.942,"2025-01-13 16:22:21.942 UTC+01:00"
"PAUSE",3.899796228E1,1736781780.940,"2025-01-13 16:23:00.940 UTC+01:00"
