"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
1.150000000E1,2.777677006E-1,2.822950745E-2,-2.689792691E-2
1.160000000E1,3.612578005E-1,2.303634334E-2,-1.731054702E-3
1.170000000E1,3.829625633E-1,2.716424302E-2,-3.395530377E-2
1.180000000E1,3.830957214E-1,2.583266248E-2,1.731054702E-3
1.190000000E1,3.852262502E-1,4.061320647E-2,-5.752427933E-2
1.200000000E1,4.356931527E-1,2.383529167E-2,5.060006052E-2
1.210000000E1,3.856257244E-1,2.130528864E-2,1.997370810E-2
1.220000000E1,3.217098585E-1,1.930791783E-2,-2.237055307E-2
1.230000000E1,2.701776916E-1,3.408846182E-2,-2.916161383E-2
1.240000000E1,2.383529167E-1,2.636529469E-2,-3.342267155E-2
1.250000000E1,2.207760535E-1,2.609897858E-2,2.769687523E-2
1.260000000E1,1.729723121E-1,2.942792993E-2,-1.438106983E-2
1.270000000E1,1.660480933E-1,2.143844669E-2,-8.122641294E-3
1.280000000E1,1.752359991E-1,1.744370507E-2,1.637844064E-2
1.290000000E1,1.837581145E-1,2.916161383E-2,-1.198422486E-3
1.300000000E1,2.257029015E-1,2.663161080E-2,1.238369902E-2
1.310000000E1,2.655171597E-1,1.518001816E-2,4.527373836E-3
1.320000000E1,2.988066732E-1,2.077265642E-2,-1.597896648E-3
1.330000000E1,3.508714723E-1,2.663161080E-2,7.057376862E-3
1.340000000E1,3.669835968E-1,3.328951350E-2,-2.703108496E-2
1.350000000E1,4.090615419E-1,3.235740712E-2,1.637844064E-2
1.360000000E1,4.147873382E-1,2.942792993E-2,-2.596582053E-2
1.370000000E1,4.247741923E-1,1.704423091E-2,1.025317016E-2
1.380000000E1,4.093278580E-1,1.211738291E-2,2.649845275E-2
1.390000000E1,3.965446848E-1,1.531317621E-2,3.914846788E-2
1.400000000E1,3.352919800E-1,3.328951350E-2,-2.969424604E-2
1.410000000E1,3.006708859E-1,4.607268668E-2,-1.944107588E-2
1.420000000E1,2.691124271E-1,2.010686615E-2,-4.261057728E-3
1.430000000E1,2.560629378E-1,8.788431564E-3,1.571265037E-2
1.440000000E1,2.153165733E-1,2.530003026E-2,5.858954376E-3
1.450000000E1,1.938781266E-1,3.808320344E-2,-1.810949534E-2
1.460000000E1,1.974733941E-1,1.824265340E-2,1.544633426E-2
1.470000000E1,2.205097374E-1,9.720537942E-3,3.688478096E-2
1.480000000E1,2.336923848E-1,3.675162290E-2,-1.597896648E-3
1.490000000E1,2.896187674E-1,2.809634939E-2,2.130528864E-3
1.500000000E1,2.942792993E-1,1.664475675E-2,-3.195793296E-3
1.510000000E1,3.339603994E-1,3.129214269E-2,-5.060006052E-3
1.520000000E1,3.912183627E-1,2.543318831E-2,1.731054702E-3
1.530000000E1,4.119910191E-1,2.902845577E-2,-5.459480214E-3
1.540000000E1,4.314320950E-1,2.596582053E-2,2.516687221E-2
1.550000000E1,4.123904932E-1,2.210423696E-2,-8.522115456E-3
1.560000000E1,4.360926268E-1,2.010686615E-2,1.038632821E-2
1.570000000E1,4.416852651E-1,1.491370205E-2,1.185106681E-2
1.580000000E1,3.940146818E-1,2.822950745E-2,4.926847998E-3
1.590000000E1,3.723099190E-1,2.050634032E-2,1.637844064E-2
1.600000000E1,3.209109101E-1,2.969424604E-2,-1.491370205E-2
1.610000000E1,3.090598433E-1,1.225054097E-2,-2.130528864E-3
1.620000000E1,2.656503177E-1,2.383529167E-2,1.185106681E-2
1.630000000E1,2.532666187E-1,2.010686615E-2,-2.197107891E-2
1.640000000E1,2.516687221E-1,3.049319437E-2,1.038632821E-2
1.650000000E1,2.410160777E-1,2.090581448E-2,-5.326322160E-3
1.660000000E1,2.440787130E-1,2.530003026E-2,-5.858954376E-3
1.670000000E1,2.639192630E-1,3.129214269E-2,-6.524744646E-3
1.680000000E1,3.086603692E-1,6.258428538E-3,1.438106983E-2
1.690000000E1,3.049319437E-1,1.544633426E-2,-1.518001816E-2
1.700000000E1,3.254382840E-1,3.275688128E-2,-1.438106983E-2
1.710000000E1,3.632551713E-1,2.756371718E-2,-9.720537942E-3
1.720000000E1,3.885552016E-1,1.864212756E-2,-9.054747672E-3
1.730000000E1,4.099936483E-1,1.997370810E-2,-1.784317924E-2
1.740000000E1,4.532700158E-1,1.957423394E-2,1.904160172E-2
1.750000000E1,4.527373836E-1,2.809634939E-2,9.321063780E-3
1.760000000E1,4.419515812E-1,2.916161383E-2,-1.331580540E-4
