"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.040000000E1,1.276985738E-1,1.065264432E-2,1.331580540E-4
2.050000000E1,1.966744458E-1,4.127899674E-3,2.356897556E-2
2.060000000E1,1.797633729E-1,3.062635242E-3,2.916161383E-2
2.070000000E1,2.431466066E-1,5.725796322E-3,2.743055912E-2
2.080000000E1,2.375539683E-1,-3.994741620E-3,-4.261057728E-3
2.090000000E1,2.306297495E-1,1.251685708E-2,2.530003026E-2
2.100000000E1,2.376871264E-1,-2.663161080E-4,3.062635242E-3
2.110000000E1,1.948102330E-1,1.677791480E-2,1.904160172E-2
2.120000000E1,2.411492358E-1,5.326322160E-4,3.675162290E-2
2.130000000E1,1.134506620E-1,1.864212756E-3,3.209109101E-2
2.140000000E1,1.655154611E-1,-5.193164106E-3,1.504686010E-2
2.150000000E1,9.627327304E-2,5.858954376E-3,5.099953468E-2
2.160000000E1,1.065264432E-1,-3.195793296E-3,2.663161080E-3
2.170000000E1,6.831008170E-2,-5.060006052E-3,-1.810949534E-2
2.180000000E1,1.004011727E-1,1.424791178E-2,2.569950442E-2
2.190000000E1,8.562062872E-2,3.595267458E-3,1.637844064E-2
2.200000000E1,1.245027805E-1,-4.527373836E-3,1.518001816E-2
2.210000000E1,1.463407013E-1,-3.195793296E-3,9.187905726E-3
2.220000000E1,1.442101725E-1,1.478054399E-2,3.448793599E-2
2.230000000E1,2.311623817E-1,-3.861583566E-3,-1.837581145E-2
2.240000000E1,1.834917984E-1,9.187905726E-3,2.356897556E-2
2.250000000E1,2.388855489E-1,-1.331580540E-4,2.143844669E-2
2.260000000E1,2.295644851E-1,1.624528259E-2,2.410160777E-2
2.270000000E1,2.588592570E-1,-2.649845275E-2,-3.382214572E-2
2.280000000E1,2.367550200E-1,6.924218808E-3,2.197107891E-2
2.290000000E1,2.171807861E-1,1.411475372E-2,1.757686313E-2
2.300000000E1,1.952097072E-1,1.025317016E-2,2.703108496E-2
2.310000000E1,1.801628471E-1,2.530003026E-3,3.701793901E-2
2.320000000E1,1.657817772E-1,1.864212756E-2,3.768372928E-2
2.330000000E1,1.844239048E-1,-1.091896043E-2,-3.195793296E-3
2.340000000E1,1.368864795E-1,-6.924218808E-3,3.488741015E-2
2.350000000E1,1.367533215E-1,2.796319134E-3,3.155845880E-2
2.360000000E1,9.827064385E-2,1.251685708E-2,5.206479911E-2
2.370000000E1,1.411475372E-1,1.211738291E-2,2.250371113E-2
2.380000000E1,8.974852840E-2,1.557949232E-2,2.410160777E-2
2.390000000E1,1.392833245E-1,1.331580540E-4,1.571265037E-2
2.400000000E1,1.608549292E-1,-4.127899674E-3,2.636529469E-2
2.410000000E1,1.439438564E-1,2.090581448E-2,4.274373533E-2
2.420000000E1,2.198439472E-1,-3.728425512E-3,1.371527956E-2
2.430000000E1,2.024002421E-1,5.858954376E-3,2.956108799E-2
2.440000000E1,2.142513089E-1,9.054747672E-3,3.928162593E-2
2.450000000E1,2.548645154E-1,4.127899674E-3,2.942792993E-2
2.460000000E1,2.555303056E-1,1.198422486E-3,1.438106983E-2
2.470000000E1,2.704440077E-1,1.012001210E-2,1.784317924E-2
2.480000000E1,2.545981992E-1,1.518001816E-2,2.743055912E-2
2.490000000E1,2.414155519E-1,-3.994741620E-4,3.368898766E-2
2.500000000E1,2.420813422E-1,-1.331580540E-3,1.797633729E-2
2.510000000E1,2.347576492E-1,5.060006052E-3,1.904160172E-2
2.520000000E1,2.135855186E-1,-4.660531890E-3,3.994741620E-3
2.530000000E1,1.929460202E-1,-4.261057728E-3,-1.198422486E-3
2.540000000E1,1.747033668E-1,4.660531890E-3,2.157160475E-2
2.550000000E1,1.777660021E-1,2.130528864E-3,2.237055307E-2
2.560000000E1,1.739044185E-1,-9.187905726E-3,1.917475978E-2
2.570000000E1,1.438106983E-1,1.997370810E-3,1.504686010E-2
2.580000000E1,1.370196376E-1,2.663161080E-3,8.122641294E-3
2.590000000E1,1.366201634E-1,5.060006052E-3,3.009372020E-2
2.600000000E1,1.587244004E-1,-1.331580540E-3,1.358212151E-2
2.610000000E1,1.761681054E-1,-4.394215782E-3,1.105211848E-2
2.620000000E1,1.653823031E-1,1.597896648E-3,3.874899371E-2
2.630000000E1,1.933454944E-1,8.655273510E-3,2.103897253E-2
2.640000000E1,2.095907770E-1,1.438106983E-2,2.316950140E-2
2.650000000E1,2.243713210E-1,1.597896648E-3,1.584580843E-2
2.660000000E1,2.482066127E-1,1.997370810E-3,3.049319437E-2
2.670000000E1,2.518018801E-1,5.992112430E-3,3.542004236E-2
2.680000000E1,2.717755882E-1,8.255799348E-3,1.704423091E-2
2.690000000E1,2.773682265E-1,-1.864212756E-3,2.636529469E-2
2.700000000E1,2.695119013E-1,-6.924218808E-3,2.250371113E-2
2.710000000E1,2.785666490E-1,-1.731054702E-3,1.744370507E-2
2.720000000E1,2.737729590E-1,1.464738594E-3,1.664475675E-2
2.730000000E1,2.568618862E-1,2.530003026E-3,2.783003329E-2
2.740000000E1,2.544650412E-1,5.592638268E-3,2.010686615E-2
2.750000000E1,2.463423999E-1,5.459480214E-3,2.743055912E-2
2.760000000E1,2.282329046E-1,2.396844972E-3,2.143844669E-2
2.770000000E1,2.316950140E-1,-4.261057728E-3,2.277002723E-2
2.780000000E1,2.154497314E-1,-2.530003026E-3,1.944107588E-2
2.790000000E1,2.041312968E-1,-2.796319134E-3,4.127899674E-3
2.800000000E1,1.982723424E-1,-7.323692970E-3,1.531317621E-2
2.810000000E1,1.897502270E-1,-7.323692970E-3,2.423476583E-2
2.820000000E1,1.948102330E-1,2.663161080E-4,1.278317318E-2
2.830000000E1,1.912149655E-1,1.025317016E-2,2.609897858E-2
2.840000000E1,1.977397102E-1,2.490055610E-2,1.238369902E-2
2.850000000E1,2.055960354E-1,3.595267458E-3,2.916161383E-2
2.860000000E1,2.133192025E-1,-2.796319134E-3,2.423476583E-2
2.870000000E1,2.203765794E-1,-1.078580237E-2,2.902845577E-2
2.880000000E1,2.356897556E-1,1.704423091E-2,2.543318831E-2
2.890000000E1,2.435460808E-1,1.824265340E-2,2.077265642E-2
2.900000000E1,2.563292540E-1,-1.624528259E-2,2.623213664E-2
2.910000000E1,2.559297798E-1,3.861583566E-3,1.864212756E-2
2.920000000E1,2.679140046E-1,7.057376862E-3,2.063949837E-2
2.930000000E1,2.881540289E-1,-2.663161080E-4,1.877528561E-2
2.940000000E1,2.825613906E-1,7.723167132E-3,1.171790875E-2
2.950000000E1,2.958771960E-1,8.788431564E-3,1.691107286E-2
2.960000000E1,3.077282628E-1,-4.660531890E-3,6.657902700E-3
2.970000000E1,3.022687826E-1,-5.858954376E-3,1.278317318E-2
2.980000000E1,3.036003631E-1,9.853695996E-3,4.527373836E-3
2.990000000E1,2.989398312E-1,1.331580540E-4,1.358212151E-2
3.000000000E1,3.054645759E-1,-1.078580237E-2,6.924218808E-3
3.010000000E1,3.026682567E-1,1.171790875E-2,2.103897253E-2
3.020000000E1,2.920156124E-1,5.326322160E-3,2.450108194E-2
3.030000000E1,2.842924453E-1,9.853695996E-3,2.703108496E-2
3.040000000E1,2.892192933E-1,5.725796322E-3,2.583266248E-2
3.050000000E1,2.681803208E-1,9.321063780E-4,2.250371113E-2
3.060000000E1,2.732403268E-1,-9.986854050E-3,1.291633124E-2
3.070000000E1,2.612561019E-1,-3.994741620E-4,5.592638268E-3
3.080000000E1,2.575276764E-1,5.992112430E-3,2.396844972E-2
3.090000000E1,2.536660929E-1,1.211738291E-2,1.012001210E-2
3.100000000E1,2.531334607E-1,1.557949232E-2,1.970739199E-2
3.110000000E1,2.607234697E-1,-6.657902700E-4,9.454221834E-3
3.120000000E1,2.549976734E-1,-3.462109404E-3,3.062635242E-2
3.130000000E1,2.559297798E-1,3.328951350E-3,2.583266248E-2
3.140000000E1,2.625876825E-1,-1.597896648E-3,2.370213361E-2
