"event","experiment time","system time","system time text"
"START",0.000000000E0,1736781288.798,"2025-01-13 16:14:48.798 UTC+01:00"
"PAUSE",3.044767535E1,1736781319.245,"2025-01-13 16:15:19.245 UTC+01:00"
